Product Code,Net Unit Cost,Quantity,Warehouse Code,Supplier No,Reference No,Date,Shop ID,Purchase Status,Payment Term,Payment Status,Shipping,Order Discount,Order Tax
SY0GF1066,4.7,16,WH1,2,,,,received,,PAID,,,
SYBBF1066,4.7,16,WH1,2,,,,received,,PAID,,,
LJCFS8802,5.5,8,WH1,2,,,,received,,PAID,,,
LJCFM8802,5.5,8,WH1,2,,,,received,,PAID,,,
LJCFL8802,5.5,8,WH1,2,,,,received,,PAID,,,
SYCFF9286,4.7,12,WH1,2,,,,received,,PAID,,,
CDCFF2230,4.9,12,WH1,2,,,,received,,PAID,,,
SHCFM8348,4.2,8,WH1,2,,,,received,,PAID,,,
SHCFL8348,4.2,8,WH1,2,,,,received,,PAID,,,
SY0OM7350,5,12,WH1,2,,,,received,,PAID,,,
SY0OL7350,5,8,WH1,2,,,,received,,PAID,,,
SYBEM7350,5,12,WH1,2,,,,received,,PAID,,,
SYBEL7350,5,10,WH1,2,,,,received,,PAID,,,
